2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57594      LSD1 > asddasd

2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57594      LSD1 > {exit}

2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57594      LSD1 has left the chat!
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57600      LSD1 has join the chat!
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57600      LSD1 has left the chat!
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57607      LSD1 has join the chat!
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57607      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 has join the chat!
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 > sad
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57609      LSD1 has left the chat!
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 has join the chat!
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > sad
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
